date,price
11/05/2025 00:00,0.12
11/05/2025 01:00,0.11
11/05/2025 02:00,0.11
11/05/2025 03:00,0.11
11/05/2025 04:00,0.11
11/05/2025 05:00,0.11
11/05/2025 06:00,0.1
11/05/2025 07:00,0.07
11/05/2025 08:00,0
11/05/2025 09:00,0
11/05/2025 10:00,-0.01
11/05/2025 11:00,-0.08
11/05/2025 12:00,-0.39
11/05/2025 13:00,-0.42
11/05/2025 14:00,-0.36
11/05/2025 15:00,-0.13
11/05/2025 16:00,-0.02
11/05/2025 17:00,0
11/05/2025 18:00,0.1
11/05/2025 19:00,0.13
11/05/2025 20:00,0.15
11/05/2025 21:00,0.15
11/05/2025 22:00,0.12
11/05/2025 23:00,0.1
